,0,1,2,3,4
fit_time,5.656596899032593,5.6470701694488525,5.672587871551514,5.736522674560547,5.25217080116272
score_time,0.1605370044708252,0.16060781478881836,0.15793108940124512,0.1558828353881836,0.16244983673095703
test_acc,0.9134615384615384,0.9711538461538461,0.9611650485436893,0.970873786407767,0.941747572815534
test_roc,0.9516129032258065,0.9836956521739131,0.9782608695652174,0.9036561264822134,0.9673913043478262
test_recall0,1.0,1.0,1.0,0.8181818181818182,1.0
test_recall1,0.9032258064516129,0.967391304347826,0.9565217391304348,0.9891304347826086,0.9347826086956522
test_precision0,0.55,0.8,0.7333333333333333,0.9,0.6470588235294118
test_precision1,1.0,1.0,1.0,0.978494623655914,1.0
test_f0,0.7096774193548387,0.8888888888888888,0.8461538461538461,0.8571428571428571,0.7857142857142857
test_f1,0.9491525423728814,0.9834254143646409,0.9777777777777777,0.9837837837837838,0.9662921348314607
