,0,1,2,3,4
fit_time,12.79948616027832,12.631946563720703,12.766633033752441,20.374990224838257,12.845008373260498
score_time,14.147624015808105,15.219736337661743,16.862627506256104,19.229181051254272,33.33567690849304
test_acc,0.6346153846153846,0.6442307692307693,0.7281553398058253,0.7669902912621359,0.6699029126213593
test_roc,0.7956989247311828,0.7989130434782609,0.8478260869565217,0.8295454545454545,0.8152173913043479
test_recall0,1.0,1.0,1.0,0.9090909090909091,1.0
test_recall1,0.5913978494623656,0.5978260869565217,0.6956521739130435,0.75,0.6304347826086957
test_precision0,0.22448979591836735,0.24489795918367346,0.28205128205128205,0.30303030303030304,0.24444444444444444
test_precision1,1.0,1.0,1.0,0.9857142857142858,1.0
test_f0,0.36666666666666664,0.39344262295081966,0.44,0.45454545454545453,0.39285714285714285
test_f1,0.7432432432432432,0.7482993197278912,0.8205128205128205,0.8518518518518519,0.7733333333333333
