,0,1,2,3,4
fit_time,134.77147269248962,135.24347162246704,136.8970503807068,136.7853879928589,133.4167721271515
score_time,0.16566157341003418,0.1651003360748291,0.1618046760559082,0.1613154411315918,0.16309356689453125
test_acc,0.7788461538461539,0.8557692307692307,0.8543689320388349,0.8349514563106796,0.7572815533980582
test_roc,0.8763440860215054,0.9184782608695652,0.9184782608695652,0.9076086956521738,0.8641304347826086
test_recall0,1.0,1.0,1.0,1.0,1.0
test_recall1,0.7526881720430108,0.8369565217391305,0.8369565217391305,0.8152173913043478,0.7282608695652174
test_precision0,0.3235294117647059,0.4444444444444444,0.4230769230769231,0.39285714285714285,0.3055555555555556
test_precision1,1.0,1.0,1.0,1.0,1.0
test_f0,0.4888888888888889,0.6153846153846154,0.5945945945945946,0.5641025641025641,0.46808510638297873
test_f1,0.8588957055214724,0.9112426035502958,0.9112426035502958,0.8982035928143712,0.8427672955974843
