,0,1,2,3,4
fit_time,1.0717737674713135,1.0858044624328613,1.061605453491211,1.0545320510864258,1.0517940521240234
score_time,0.14083576202392578,0.1407468318939209,0.13753151893615723,0.1380629539489746,0.13967442512512207
test_acc,0.8365384615384616,0.75,0.8252427184466019,0.8349514563106796,0.8349514563106796
test_roc,0.5478983382209188,0.46014492753623193,0.5019762845849802,0.5474308300395256,0.5474308300395256
test_recall0,0.18181818181818182,0.08333333333333333,0.09090909090909091,0.18181818181818182,0.18181818181818182
test_recall1,0.9139784946236559,0.8369565217391305,0.9130434782608695,0.9130434782608695,0.9130434782608695
test_precision0,0.2,0.0625,0.1111111111111111,0.2,0.2
test_precision1,0.9042553191489362,0.875,0.8936170212765957,0.9032258064516129,0.9032258064516129
test_f0,0.19047619047619047,0.07142857142857142,0.1,0.19047619047619047,0.19047619047619047
test_f1,0.9090909090909091,0.8555555555555555,0.9032258064516129,0.9081081081081082,0.9081081081081082
