,0,1,2,3,4
fit_time,1.1104357242584229,1.0963995456695557,1.1222033500671387,1.1081674098968506,1.1432642936706543
score_time,0.14672303199768066,0.1517012119293213,0.1484842300415039,0.1465756893157959,0.15000176429748535
test_acc,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457
test_roc,0.5,0.5,0.5,0.5,0.5
test_recall0,0.0,0.0,0.0,0.0,0.0
test_recall1,1.0,1.0,1.0,1.0,1.0
test_precision0,0.0,0.0,0.0,0.0,0.0
test_precision1,0.8942307692307693,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457
test_f0,0.0,0.0,0.0,0.0,0.0
test_f1,0.9441624365482234,0.9387755102040817,0.9435897435897436,0.9435897435897436,0.9435897435897436
