,0,1,2,3,4
fit_time,857.2034866809845,862.3116230964661,861.4421310424805,866.8239994049072,869.6170792579651
score_time,6.667011022567749,6.653745651245117,6.5750110149383545,6.580768346786499,6.582920789718628
test_acc,0.7849462365591398,0.21739130434782608,0.22826086956521738,0.25,0.7717391304347826
test_roc,0.5238095238095238,0.4638888888888889,0.4888888888888889,0.5208333333333333,0.5
test_recall0,1.0,0.027777777777777776,0.027777777777777776,0.041666666666666664,1.0
test_recall1,0.047619047619047616,0.9,0.95,1.0,0.0
test_precision0,0.782608695652174,0.5,0.6666666666666666,1.0,0.7717391304347826
test_precision1,1.0,0.20454545454545456,0.21348314606741572,0.2247191011235955,0.0
test_f0,0.8780487804878049,0.05263157894736842,0.05333333333333334,0.08,0.8711656441717791
test_f1,0.09090909090909091,0.3333333333333333,0.3486238532110092,0.3669724770642202,0.0
