,0,1,2,3,4
fit_time,0.0025594234466552734,0.002187967300415039,0.0022106170654296875,0.0021805763244628906,0.0022153854370117188
score_time,0.005006313323974609,0.0049021244049072266,0.0048389434814453125,0.004873514175415039,0.0048563480377197266
test_acc,0.6344086021505376,0.6630434782608695,0.6413043478260869,0.6739130434782609,0.6304347826086957
test_roc,0.443452380952381,0.5319444444444444,0.44583333333333336,0.5388888888888889,0.4419852448021463
test_recall0,0.7916666666666666,0.7638888888888888,0.7916666666666666,0.7777777777777778,0.7887323943661971
test_recall1,0.09523809523809523,0.3,0.1,0.3,0.09523809523809523
test_precision0,0.75,0.7971014492753623,0.76,0.8,0.7466666666666667
test_precision1,0.11764705882352941,0.2608695652173913,0.11764705882352941,0.2727272727272727,0.11764705882352941
test_f0,0.7702702702702703,0.7801418439716312,0.7755102040816326,0.7887323943661971,0.7671232876712328
test_f1,0.10526315789473684,0.27906976744186046,0.10810810810810811,0.2857142857142857,0.10526315789473684
