,0,1,2,3,4
fit_time,0.03711342811584473,0.03683042526245117,0.03889060020446777,0.03902888298034668,0.038392066955566406
score_time,0.006405830383300781,0.006542205810546875,0.006606340408325195,0.00661468505859375,0.0061397552490234375
test_acc,0.8709677419354839,0.8043478260869565,0.8695652173913043,0.8152173913043478,0.7717391304347826
test_roc,0.798611111111111,0.6763888888888888,0.8083333333333332,0.7555555555555555,0.7347417840375586
test_recall0,0.9305555555555556,0.9027777777777778,0.9166666666666666,0.8611111111111112,0.8028169014084507
test_recall1,0.6666666666666666,0.45,0.7,0.65,0.6666666666666666
test_precision0,0.9054054054054054,0.8552631578947368,0.9166666666666666,0.8985507246376812,0.890625
test_precision1,0.7368421052631579,0.5625,0.7,0.5652173913043478,0.5
test_f0,0.9178082191780822,0.8783783783783784,0.9166666666666666,0.8794326241134752,0.8444444444444444
test_f1,0.7,0.5,0.7,0.6046511627906976,0.5714285714285714
