,0,1,2,3,4
fit_time,0.1925640106201172,0.2028810977935791,0.19004178047180176,0.1835639476776123,0.1744520664215088
score_time,0.005388498306274414,0.005555868148803711,0.00505828857421875,0.004971742630004883,0.004734039306640625
test_acc,0.8279569892473119,0.8043478260869565,0.8478260869565217,0.7282608695652174,0.7717391304347826
test_roc,0.8045634920634921,0.7847222222222222,0.8125,0.7,0.8018108651911469
test_recall0,0.8472222222222222,0.8194444444444444,0.875,0.75,0.7464788732394366
test_recall1,0.7619047619047619,0.75,0.75,0.65,0.8571428571428571
test_precision0,0.9242424242424242,0.921875,0.9264705882352942,0.8852459016393442,0.9464285714285714
test_precision1,0.5925925925925926,0.5357142857142857,0.625,0.41935483870967744,0.5
test_f0,0.8840579710144928,0.8676470588235294,0.9,0.8120300751879699,0.8346456692913385
test_f1,0.6666666666666666,0.625,0.6818181818181818,0.5098039215686274,0.631578947368421
