,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
fit_time,838.92041182518,827.8206012248993,845.0599453449249,823.7039988040924,828.4223864078522,840.0349614620209,831.2211830615997,829.226405620575,817.7159519195557,831.5637421607971,806.2853808403015,838.5386345386505,831.5628221035004,834.3996245861053,832.3736820220947,545.4837329387665,543.5836138725281,542.9019839763641,545.4785141944885,542.7287456989288,538.0181963443756,540.3183012008667,541.513925075531,546.6223042011261,543.6800031661987
score_time,0.9510266780853271,1.0004706382751465,0.7044332027435303,0.8705315589904785,0.7706711292266846,0.7101550102233887,1.0681283473968506,0.7677943706512451,0.8041794300079346,0.7613513469696045,1.0277040004730225,0.6890180110931396,0.9506001472473145,1.0935680866241455,0.9672584533691406,0.7519140243530273,0.7697200775146484,0.7219753265380859,0.685297966003418,0.7156026363372803,0.726381778717041,0.6950039863586426,0.705845832824707,0.6664948463439941,0.6688485145568848
test_acc,0.23655913978494625,0.22826086956521738,0.22826086956521738,0.22826086956521738,0.22826086956521738,0.23655913978494625,0.21739130434782608,0.22826086956521738,0.22826086956521738,0.2391304347826087,0.22580645161290322,0.2391304347826087,0.2391304347826087,0.21739130434782608,0.2391304347826087,0.23655913978494625,0.21739130434782608,0.2391304347826087,0.22826086956521738,0.2391304347826087,0.22580645161290322,0.21739130434782608,0.21739130434782608,0.22826086956521738,0.2391304347826087
test_roc,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.5,0.5069444444444444,0.5,0.5069444444444444,0.5069444444444444,0.5070422535211268,0.5,0.5138888888888888,0.5138888888888888,0.5,0.5070422535211268,0.5069444444444444,0.4819444444444444,0.5138888888888888,0.5069444444444444,0.5070422535211268,0.5,0.5,0.5,0.5069444444444444,0.5070422535211268
test_recall0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.014084507042253521,0.0,0.027777777777777776,0.027777777777777776,0.0,0.014084507042253521,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.014084507042253521,0.0,0.0,0.0,0.013888888888888888,0.014084507042253521
test_recall1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_precision0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
test_precision1,0.22826086956521738,0.21978021978021978,0.21978021978021978,0.21978021978021978,0.22826086956521738,0.22826086956521738,0.21739130434782608,0.21978021978021978,0.21978021978021978,0.23076923076923078,0.22580645161290322,0.2222222222222222,0.2222222222222222,0.21739130434782608,0.23076923076923078,0.22826086956521738,0.2111111111111111,0.2222222222222222,0.21978021978021978,0.23076923076923078,0.22580645161290322,0.21739130434782608,0.21739130434782608,0.21978021978021978,0.23076923076923078
test_f0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0,0.0273972602739726,0.0,0.0273972602739726,0.0273972602739726,0.02777777777777778,0.0,0.05405405405405406,0.05405405405405406,0.0,0.02777777777777778,0.0273972602739726,0.02702702702702703,0.05405405405405406,0.0273972602739726,0.02777777777777778,0.0,0.0,0.0,0.0273972602739726,0.02777777777777778
test_f1,0.37168141592920356,0.36036036036036034,0.36036036036036034,0.36036036036036034,0.37168141592920356,0.37168141592920356,0.3571428571428571,0.36036036036036034,0.36036036036036034,0.375,0.3684210526315789,0.3636363636363636,0.3636363636363636,0.3571428571428571,0.375,0.37168141592920356,0.34545454545454546,0.3636363636363636,0.36036036036036034,0.375,0.3684210526315789,0.3571428571428571,0.3571428571428571,0.36036036036036034,0.375
