,0,1,2,3,4
fit_time,0.0023424625396728516,0.002009868621826172,0.0020024776458740234,0.0020236968994140625,0.002004384994506836
score_time,0.004853963851928711,0.004657745361328125,0.004597187042236328,0.004575252532958984,0.004531145095825195
test_acc,0.7741935483870968,0.782608695652174,0.782608695652174,0.782608695652174,0.7717391304347826
test_roc,0.5,0.5,0.5,0.5,0.5
test_recall0,1.0,1.0,1.0,1.0,1.0
test_recall1,0.0,0.0,0.0,0.0,0.0
test_precision0,0.7741935483870968,0.782608695652174,0.782608695652174,0.782608695652174,0.7717391304347826
test_precision1,0.0,0.0,0.0,0.0,0.0
test_f0,0.8727272727272727,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8711656441717791
test_f1,0.0,0.0,0.0,0.0,0.0
