,0,1,2,3,4
fit_time,1.158158302307129,1.092900037765503,1.0761699676513672,1.1137902736663818,1.0809447765350342
score_time,0.14257550239562988,0.13518786430358887,0.1343543529510498,0.1398000717163086,0.13523268699645996
test_acc,0.7741935483870968,0.782608695652174,0.8152173913043478,0.8152173913043478,0.782608695652174
test_roc,0.5168650793650794,0.5361111111111111,0.575,0.575,0.5405767940979209
test_recall0,0.9861111111111112,0.9722222222222222,1.0,1.0,0.9859154929577465
test_recall1,0.047619047619047616,0.1,0.15,0.15,0.09523809523809523
test_precision0,0.7802197802197802,0.7954545454545454,0.8089887640449438,0.8089887640449438,0.7865168539325843
test_precision1,0.5,0.5,1.0,1.0,0.6666666666666666
test_f0,0.8711656441717791,0.875,0.8944099378881988,0.8944099378881988,0.875
test_f1,0.08695652173913043,0.16666666666666666,0.2608695652173913,0.2608695652173913,0.16666666666666666
