,0,1,2,3,4
fit_time,18.120895862579346,15.797389030456543,19.568933486938477,16.866904258728027,19.480363368988037
score_time,18.434016466140747,21.175151109695435,27.521902561187744,22.305721044540405,22.078444719314575
test_acc,0.7849462365591398,0.782608695652174,0.8260869565217391,0.8369565217391305,0.7717391304347826
test_roc,0.5744047619047619,0.5902777777777778,0.6541666666666668,0.6791666666666666,0.6173708920187794
test_recall0,0.9583333333333334,0.9305555555555556,0.9583333333333334,0.9583333333333334,0.9014084507042254
test_recall1,0.19047619047619047,0.25,0.35,0.4,0.3333333333333333
test_precision0,0.8023255813953488,0.8170731707317073,0.8414634146341463,0.8518518518518519,0.8205128205128205
test_precision1,0.5714285714285714,0.5,0.7,0.7272727272727273,0.5
test_f0,0.8734177215189873,0.8701298701298701,0.8961038961038961,0.9019607843137255,0.8590604026845637
test_f1,0.2857142857142857,0.3333333333333333,0.4666666666666667,0.5161290322580645,0.4
