,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
fit_time,771.6390719413757,758.2020053863525,778.8206913471222,788.6749436855316,785.5628306865692,765.730064868927,745.9940974712372,779.0228159427643,771.2827179431915,763.3360946178436,773.0617406368256,786.9213356971741,784.7903723716736,771.4678695201874,777.1043334007263,510.0778603553772,505.8363242149353,502.3822796344757,505.8097004890442,499.5604944229126,503.9743790626526,504.572740316391,500.7989203929901,504.4233660697937,500.54763436317444
score_time,0.502648115158081,0.48775243759155273,0.6145944595336914,0.4635486602783203,0.4924788475036621,0.6410822868347168,0.6246917247772217,0.4772989749908447,0.6304323673248291,0.6186795234680176,0.5172281265258789,0.4753835201263428,0.6075592041015625,0.6249709129333496,0.5123729705810547,0.4781973361968994,0.4739644527435303,0.462935209274292,0.4659237861633301,0.46256136894226074,0.45365118980407715,0.4471316337585449,0.4625387191772461,0.4432053565979004,0.4339265823364258
test_acc,0.27956989247311825,0.22826086956521738,0.2391304347826087,0.22826086956521738,0.22826086956521738,0.23655913978494625,0.21739130434782608,0.2391304347826087,0.22826086956521738,0.25,0.22580645161290322,0.2608695652173913,0.25,0.21739130434782608,0.2391304347826087,0.26881720430107525,0.21739130434782608,0.25,0.22826086956521738,0.2391304347826087,0.22580645161290322,0.21739130434782608,0.21739130434782608,0.25,0.2391304347826087
test_roc,0.5347222222222222,0.5069444444444444,0.5138888888888888,0.5069444444444444,0.5,0.5069444444444444,0.5,0.5138888888888888,0.5069444444444444,0.5140845070422535,0.5,0.5277777777777778,0.5208333333333333,0.5,0.5070422535211268,0.5277777777777778,0.4819444444444444,0.5208333333333333,0.5069444444444444,0.5070422535211268,0.5,0.5,0.4819444444444444,0.5208333333333333,0.5070422535211268
test_recall0,0.06944444444444445,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.0,0.027777777777777776,0.013888888888888888,0.028169014084507043,0.0,0.05555555555555555,0.041666666666666664,0.0,0.014084507042253521,0.05555555555555555,0.013888888888888888,0.041666666666666664,0.013888888888888888,0.014084507042253521,0.0,0.0,0.013888888888888888,0.041666666666666664,0.014084507042253521
test_recall1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0
test_precision0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0
test_precision1,0.23863636363636365,0.21978021978021978,0.2222222222222222,0.21978021978021978,0.22826086956521738,0.22826086956521738,0.21739130434782608,0.2222222222222222,0.21978021978021978,0.23333333333333334,0.22580645161290322,0.22727272727272727,0.2247191011235955,0.21739130434782608,0.23076923076923078,0.23595505617977527,0.2111111111111111,0.2247191011235955,0.21978021978021978,0.23076923076923078,0.22580645161290322,0.21739130434782608,0.2111111111111111,0.2247191011235955,0.23076923076923078
test_f0,0.12987012987012989,0.0273972602739726,0.05405405405405406,0.0273972602739726,0.0,0.0273972602739726,0.0,0.05405405405405406,0.0273972602739726,0.05479452054794521,0.0,0.10526315789473684,0.07999999999999999,0.0,0.02777777777777778,0.10526315789473684,0.02702702702702703,0.07999999999999999,0.0273972602739726,0.02777777777777778,0.0,0.0,0.02702702702702703,0.07999999999999999,0.02777777777777778
test_f1,0.38532110091743116,0.36036036036036034,0.3636363636363636,0.36036036036036034,0.37168141592920356,0.37168141592920356,0.3571428571428571,0.3636363636363636,0.36036036036036034,0.37837837837837834,0.3684210526315789,0.37037037037037035,0.36697247706422015,0.3571428571428571,0.375,0.38181818181818183,0.34545454545454546,0.36697247706422015,0.36036036036036034,0.375,0.3684210526315789,0.3571428571428571,0.34545454545454546,0.36697247706422015,0.375
