,0,1,2,3,4
fit_time,1.5056819915771484,1.5158720016479492,1.5096955299377441,1.481842279434204,1.5160369873046875
score_time,0.19202375411987305,0.1866893768310547,0.20806479454040527,0.18867087364196777,0.18896937370300293
test_acc,0.8709677419354839,0.8043478260869565,0.8695652173913043,0.8478260869565217,0.7717391304347826
test_roc,0.798611111111111,0.6763888888888888,0.826388888888889,0.7944444444444444,0.7179745137491618
test_recall0,0.9305555555555556,0.9027777777777778,0.9027777777777778,0.8888888888888888,0.8169014084507042
test_recall1,0.6666666666666666,0.45,0.75,0.7,0.6190476190476191
test_precision0,0.9054054054054054,0.8552631578947368,0.9285714285714286,0.9142857142857143,0.8787878787878788
test_precision1,0.7368421052631579,0.5625,0.6818181818181818,0.6363636363636364,0.5
test_f0,0.9178082191780822,0.8783783783783784,0.9154929577464789,0.9014084507042254,0.8467153284671532
test_f1,0.7,0.5,0.7142857142857143,0.6666666666666666,0.5531914893617021
