,0,1,2,3,4
fit_time,1.026947259902954,1.0037195682525635,0.9938240051269531,0.9949285984039307,0.9867582321166992
score_time,0.13261699676513672,0.12875866889953613,0.12906765937805176,0.12926340103149414,0.13128280639648438
test_acc,0.6774193548387096,0.6630434782608695,0.7065217391304348,0.6847826086956522,0.5760869565217391
test_roc,0.5049603174603174,0.4958333333333333,0.6319444444444444,0.5097222222222222,0.4235412474849094
test_recall0,0.8194444444444444,0.7916666666666666,0.7638888888888888,0.8194444444444444,0.704225352112676
test_recall1,0.19047619047619047,0.2,0.5,0.2,0.14285714285714285
test_precision0,0.7763157894736842,0.7808219178082192,0.8461538461538461,0.7866666666666666,0.7352941176470589
test_precision1,0.23529411764705882,0.21052631578947367,0.37037037037037035,0.23529411764705882,0.125
test_f0,0.7972972972972973,0.7862068965517242,0.8029197080291971,0.8027210884353742,0.7194244604316546
test_f1,0.21052631578947367,0.20512820512820512,0.425531914893617,0.21621621621621623,0.13333333333333333
