,0,1,2,3,4
fit_time,891.0019800662994,892.9015452861786,891.9421780109406,893.5180683135986,893.8510239124298
score_time,6.648447751998901,6.6202428340911865,6.665110111236572,6.6680097579956055,6.724292039871216
test_acc,0.7741935483870968,0.782608695652174,0.782608695652174,0.21739130434782608,0.7717391304347826
test_roc,0.5,0.5,0.5,0.5,0.5
test_recall0,1.0,1.0,1.0,0.0,1.0
test_recall1,0.0,0.0,0.0,1.0,0.0
test_precision0,0.7741935483870968,0.782608695652174,0.782608695652174,0.0,0.7717391304347826
test_precision1,0.0,0.0,0.0,0.21739130434782608,0.0
test_f0,0.8727272727272727,0.8780487804878049,0.8780487804878049,0.0,0.8711656441717791
test_f1,0.0,0.0,0.0,0.35714285714285715,0.0
