,0,1,2,3,4
fit_time,1.0337984561920166,1.0197679996490479,0.995997428894043,0.995072603225708,0.9989030361175537
score_time,0.1309208869934082,0.13208770751953125,0.1295332908630371,0.13039398193359375,0.13100051879882812
test_acc,0.7741935483870968,0.782608695652174,0.782608695652174,0.782608695652174,0.7717391304347826
test_roc,0.5,0.5,0.5,0.5,0.5
test_recall0,1.0,1.0,1.0,1.0,1.0
test_recall1,0.0,0.0,0.0,0.0,0.0
test_precision0,0.7741935483870968,0.782608695652174,0.782608695652174,0.782608695652174,0.7717391304347826
test_precision1,0.0,0.0,0.0,0.0,0.0
test_f0,0.8727272727272727,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8711656441717791
test_f1,0.0,0.0,0.0,0.0,0.0
