,0,1,2,3,4
fit_time,119.6542456150055,119.86438274383545,119.84096145629883,119.9073736667633,120.06725525856018
score_time,0.14391374588012695,0.1439037322998047,0.14027929306030273,0.14246559143066406,0.14225053787231445
test_acc,0.23655913978494625,0.2391304347826087,0.22826086956521738,0.22826086956521738,0.22826086956521738
test_roc,0.5069444444444444,0.5138888888888888,0.5069444444444444,0.5069444444444444,0.5
test_recall0,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.0
test_recall1,1.0,1.0,1.0,1.0,1.0
test_precision0,1.0,1.0,1.0,1.0,0.0
test_precision1,0.22826086956521738,0.2222222222222222,0.21978021978021978,0.21978021978021978,0.22826086956521738
test_f0,0.0273972602739726,0.05405405405405406,0.0273972602739726,0.0273972602739726,0.0
test_f1,0.37168141592920356,0.36363636363636365,0.36036036036036034,0.36036036036036034,0.37168141592920356
