,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
0,3.070021152496338,264.0,2.0,28.0,35.0,0.8875380158424377,0.9924812316894531,0.8829431533813477,0.9136565923690796,0.987540602684021,1.1993900537490845,67.0,4.0,10.0,2.0,0.9277108311653137,0.9436619877815247,0.9710144996643066,0.910973072052002,0.9680981040000916
1,2.0774264335632324,290.0,10.0,20.0,9.0,0.9422492384910583,0.9666666388511658,0.9698996543884277,0.8171683549880981,0.9653187990188599,1.3310520648956299,67.0,4.0,10.0,2.0,0.9277108311653137,0.9436619877815247,0.9710144996643066,0.8478261232376099,0.9428204894065857
2,1.294197678565979,287.0,9.0,21.0,12.0,0.936170220375061,0.9695945978164673,0.9598662257194519,0.8786510229110718,0.9778145551681519,1.3912283182144165,68.0,4.0,10.0,1.0,0.9397590160369873,0.9444444179534912,0.9855072498321533,0.8467907905578613,0.9426500797271729
3,1.6123477220535278,293.0,9.0,21.0,6.0,0.954407274723053,0.9701986908912659,0.9799330830574036,0.8391303420066833,0.9694377779960632,1.2810791730880737,67.0,4.0,10.0,2.0,0.9277108311653137,0.9436619877815247,0.9710144996643066,0.8473085165023804,0.9427345395088196
4,1.023254156112671,293.0,8.0,22.0,6.0,0.957446813583374,0.9734219312667847,0.9799330830574036,0.8741360306739807,0.9759186506271362,1.1455440521240234,67.0,2.0,12.0,2.0,0.9518072009086609,0.9710144996643066,0.9710144996643066,0.9120083451271057,0.9685088992118835
5,1.5839309692382812,287.0,8.0,22.0,12.0,0.9392096996307373,0.9728813767433167,0.9598662257194519,0.8501671552658081,0.971781849861145,1.3221216201782227,68.0,4.0,10.0,1.0,0.9397590160369873,0.9444444179534912,0.9855072498321533,0.8473085165023804,0.9427345395088196
6,2.1672701835632324,291.0,10.0,20.0,8.0,0.9452887773513794,0.9667773842811584,0.9732441306114197,0.8313823938369751,0.9682502746582031,1.1140272617340088,67.0,2.0,12.0,2.0,0.9518072009086609,0.9710144996643066,0.9710144996643066,0.9120083451271057,0.9685088992118835
7,1.397504448890686,288.0,9.0,21.0,11.0,0.9392096996307373,0.9696969985961914,0.9632107019424438,0.862876296043396,0.9745347499847412,1.3069018125534058,68.0,4.0,10.0,1.0,0.9397590160369873,0.9444444179534912,0.9855072498321533,0.8473085165023804,0.9427345395088196
8,1.0561871528625488,291.0,8.0,22.0,8.0,0.9513677954673767,0.9732441306114197,0.9732441306114197,0.8853957653045654,0.9786310791969299,1.4888560771942139,68.0,6.0,8.0,1.0,0.9156626462936401,0.9189189076423645,0.9855072498321533,0.8483437299728394,0.9433324933052063
9,1.4566447734832764,295.0,10.0,20.0,4.0,0.957446813583374,0.9672130942344666,0.9866220951080322,0.8594760894775391,0.9730600714683533,1.0572913885116577,67.0,4.0,10.0,2.0,0.9277108311653137,0.9436619877815247,0.9710144996643066,0.9171842336654663,0.9693801403045654
10,1.5936026573181152,293.0,8.0,22.0,6.0,0.957446813583374,0.9734219312667847,0.9799330830574036,0.8579152822494507,0.9727332592010498,1.0017116069793701,67.0,2.0,12.0,2.0,0.9518072009086609,0.9710144996643066,0.9710144996643066,0.9120083451271057,0.9685088992118835
