,0,1,2,3,4
fit_time,901.6627731323242,903.6062054634094,898.3763270378113,897.8425011634827,897.7922511100769
score_time,6.685229301452637,6.71432089805603,6.735572814941406,6.713740348815918,6.712247133255005
test_acc,0.7741935483870968,0.782608695652174,0.782608695652174,0.21739130434782608,0.22826086956521738
test_roc,0.5,0.5,0.5,0.5,0.5
test_recall0,1.0,1.0,1.0,0.0,0.0
test_recall1,0.0,0.0,0.0,1.0,1.0
test_precision0,0.7741935483870968,0.782608695652174,0.782608695652174,0.0,0.0
test_precision1,0.0,0.0,0.0,0.21739130434782608,0.22826086956521738
test_f0,0.8727272727272727,0.8780487804878049,0.8780487804878049,0.0,0.0
test_f1,0.0,0.0,0.0,0.35714285714285715,0.37168141592920356
