,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
fit_time,1.4749023914337158,1.6598474979400635,1.418717622756958,1.6200499534606934,1.4290807247161865,1.078949213027954,1.1447157859802246,1.145695686340332,1.2386436462402344,1.1901874542236328,1.060337781906128,1.268371343612671,1.117738962173462,1.1905415058135986,1.3155372142791748,1.1088647842407227,1.1499671936035156,1.2061984539031982,1.1956250667572021,1.1388037204742432,1.121953010559082,1.1302289962768555,1.1836605072021484,1.1555302143096924,1.2248826026916504
score_time,0.41745996475219727,0.38372302055358887,0.3982119560241699,0.37586450576782227,0.38587307929992676,0.3963601589202881,0.3980412483215332,0.3865945339202881,0.3842015266418457,0.39471006393432617,0.4048302173614502,0.418179988861084,0.4068875312805176,0.39532995223999023,0.38008689880371094,0.4375729560852051,0.42600035667419434,0.41610145568847656,0.3761725425720215,0.36286449432373047,0.43852925300598145,0.3979799747467041,0.38466405868530273,0.3727591037750244,0.36058735847473145
test_acc,0.8494623655913979,0.8043478260869565,0.8478260869565217,0.782608695652174,0.7608695652173914,0.7526881720430108,0.8478260869565217,0.8152173913043478,0.8478260869565217,0.7934782608695652,0.8064516129032258,0.8695652173913043,0.7608695652173914,0.8369565217391305,0.782608695652174,0.8172043010752689,0.8695652173913043,0.8478260869565217,0.7934782608695652,0.717391304347826,0.8387096774193549,0.7717391304347826,0.8586956521739131,0.8152173913043478,0.7608695652173914
test_roc,0.8521825396825397,0.748611111111111,0.8125,0.7708333333333333,0.7780013413816231,0.7222222222222222,0.8486111111111112,0.7555555555555555,0.8486111111111112,0.8158953722334004,0.773809523809524,0.8444444444444443,0.775,0.8236111111111111,0.7753185781354796,0.814484126984127,0.8625,0.8666666666666666,0.7777777777777778,0.6659959758551308,0.8621031746031745,0.7458333333333332,0.8194444444444443,0.7736111111111111,0.7612340710932259
test_recall0,0.8472222222222222,0.8472222222222222,0.875,0.7916666666666666,0.7464788732394366,0.7777777777777778,0.8472222222222222,0.8611111111111112,0.8472222222222222,0.7746478873239436,0.8333333333333334,0.8888888888888888,0.75,0.8472222222222222,0.7887323943661971,0.8194444444444444,0.875,0.8333333333333334,0.8055555555555556,0.7605633802816901,0.8194444444444444,0.7916666666666666,0.8888888888888888,0.8472222222222222,0.7605633802816901
test_recall1,0.8571428571428571,0.65,0.75,0.75,0.8095238095238095,0.6666666666666666,0.85,0.65,0.85,0.8571428571428571,0.7142857142857143,0.8,0.8,0.8,0.7619047619047619,0.8095238095238095,0.85,0.9,0.75,0.5714285714285714,0.9047619047619048,0.7,0.75,0.7,0.7619047619047619
test_precision0,0.953125,0.8970588235294118,0.9264705882352942,0.9193548387096774,0.9298245614035088,0.8888888888888888,0.953125,0.8985507246376812,0.953125,0.9482758620689655,0.9090909090909091,0.9411764705882353,0.9310344827586207,0.9384615384615385,0.9180327868852459,0.9365079365079365,0.9545454545454546,0.967741935483871,0.9206349206349206,0.8571428571428571,0.9672131147540983,0.9047619047619048,0.927536231884058,0.9104477611940298,0.9152542372881356
test_precision1,0.6206896551724138,0.5416666666666666,0.625,0.5,0.4857142857142857,0.4666666666666667,0.6071428571428571,0.5652173913043478,0.6071428571428571,0.5294117647058824,0.5555555555555556,0.6666666666666666,0.47058823529411764,0.5925925925925926,0.5161290322580645,0.5666666666666667,0.6538461538461539,0.6,0.5172413793103449,0.41379310344827586,0.59375,0.4827586206896552,0.6521739130434783,0.56,0.48484848484848486
test_f0,0.8970588235294118,0.8714285714285713,0.9,0.8507462686567164,0.8281249999999999,0.8296296296296296,0.8970588235294118,0.8794326241134751,0.8970588235294118,0.8527131782945736,0.8695652173913043,0.9142857142857143,0.8307692307692308,0.8905109489051095,0.8484848484848485,0.874074074074074,0.9130434782608695,0.8955223880597015,0.8592592592592592,0.8059701492537313,0.8872180451127819,0.8444444444444444,0.9078014184397163,0.8776978417266188,0.8307692307692307
test_f1,0.7200000000000001,0.5909090909090908,0.6818181818181818,0.6,0.6071428571428571,0.5490196078431373,0.7083333333333333,0.6046511627906976,0.7083333333333333,0.6545454545454545,0.6250000000000001,0.7272727272727272,0.5925925925925927,0.6808510638297872,0.6153846153846153,0.6666666666666666,0.7391304347826088,0.7200000000000001,0.6122448979591838,0.48000000000000004,0.7169811320754718,0.5714285714285714,0.6976744186046512,0.6222222222222222,0.5925925925925926
