,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
fit_time,14.161465883255005,19.353281497955322,13.97488260269165,14.24002480506897,16.958750247955322,19.43924379348755,13.708822250366211,14.231446743011475,19.530529737472534,17.39358615875244,15.380743265151978,22.25986886024475,13.529199123382568,13.843852281570435,16.824978828430176,18.330092906951904,18.310957193374634,15.898340463638306,15.064711093902588,15.002248048782349,13.988851070404053,16.621415853500366,14.280410289764404,13.39504623413086,13.142736196517944
score_time,0.02109837532043457,0.023300647735595703,0.021251201629638672,0.025043725967407227,0.02849555015563965,0.022278308868408203,0.021071672439575195,0.021439075469970703,0.02140331268310547,0.028085947036743164,0.0281217098236084,0.02194809913635254,0.02120685577392578,0.021255016326904297,0.02121281623840332,0.019997358322143555,0.019980669021606445,0.02088761329650879,0.020468711853027344,0.023211240768432617,0.019776105880737305,0.01930975914001465,0.01992321014404297,0.019472837448120117,0.019275665283203125
test_acc,0.8172043010752689,0.8043478260869565,0.8152173913043478,0.75,0.75,0.7096774193548387,0.7934782608695652,0.7717391304347826,0.8369565217391305,0.7934782608695652,0.8064516129032258,0.8260869565217391,0.75,0.7934782608695652,0.7391304347826086,0.7956989247311828,0.8260869565217391,0.7934782608695652,0.8043478260869565,0.6847826086956522,0.7526881720430108,0.7391304347826086,0.8260869565217391,0.8260869565217391,0.75
test_roc,0.8482142857142856,0.748611111111111,0.7916666666666667,0.7680555555555557,0.7709590878604964,0.6944444444444443,0.8138888888888889,0.7277777777777777,0.8416666666666667,0.8326626425217974,0.773809523809524,0.8166666666666667,0.8041666666666666,0.7958333333333334,0.7303822937625756,0.8005952380952381,0.8347222222222223,0.8319444444444443,0.8027777777777778,0.6448692152917505,0.806547619047619,0.7430555555555557,0.798611111111111,0.798611111111111,0.7541918175720992
test_recall0,0.7916666666666666,0.8472222222222222,0.8333333333333334,0.7361111111111112,0.7323943661971831,0.7222222222222222,0.7777777777777778,0.8055555555555556,0.8333333333333334,0.7605633802816901,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7464788732394366,0.7916666666666666,0.8194444444444444,0.7638888888888888,0.8055555555555556,0.7183098591549296,0.7083333333333334,0.7361111111111112,0.8472222222222222,0.8472222222222222,0.7464788732394366
test_recall1,0.9047619047619048,0.65,0.75,0.8,0.8095238095238095,0.6666666666666666,0.85,0.65,0.85,0.9047619047619048,0.7142857142857143,0.8,0.9,0.8,0.7142857142857143,0.8095238095238095,0.85,0.9,0.8,0.5714285714285714,0.9047619047619048,0.75,0.75,0.75,0.7619047619047619
test_precision0,0.9661016949152542,0.8970588235294118,0.9230769230769231,0.9298245614035088,0.9285714285714286,0.8813559322033898,0.9491525423728814,0.8923076923076924,0.9523809523809523,0.9642857142857143,0.9090909090909091,0.9375,0.9622641509433962,0.9344262295081968,0.8983050847457628,0.9344262295081968,0.9516129032258065,0.9649122807017544,0.9354838709677419,0.85,0.9622641509433962,0.9137931034482759,0.9242424242424242,0.9242424242424242,0.9137931034482759
test_precision1,0.5588235294117647,0.5416666666666666,0.5555555555555556,0.45714285714285713,0.4722222222222222,0.4117647058823529,0.5151515151515151,0.48148148148148145,0.5862068965517241,0.5277777777777778,0.5555555555555556,0.5714285714285714,0.46153846153846156,0.5161290322580645,0.45454545454545453,0.53125,0.5666666666666667,0.5142857142857142,0.5333333333333333,0.375,0.475,0.4411764705882353,0.5769230769230769,0.5769230769230769,0.47058823529411764
test_f0,0.8702290076335878,0.8714285714285713,0.8759124087591241,0.8217054263565892,0.8188976377952756,0.7938931297709924,0.8549618320610687,0.8467153284671534,0.888888888888889,0.8503937007874015,0.8695652173913043,0.8823529411764706,0.816,0.8571428571428572,0.8153846153846154,0.8571428571428572,0.8805970149253732,0.8527131782945737,0.8656716417910448,0.7786259541984734,0.816,0.8153846153846155,0.8840579710144927,0.8840579710144927,0.8217054263565892
test_f1,0.6909090909090908,0.5909090909090908,0.6382978723404256,0.5818181818181818,0.5964912280701755,0.509090909090909,0.6415094339622641,0.553191489361702,0.6938775510204082,0.6666666666666666,0.6250000000000001,0.6666666666666666,0.6101694915254238,0.6274509803921569,0.5555555555555556,0.6415094339622642,0.68,0.6545454545454545,0.64,0.4528301886792453,0.6229508196721311,0.5555555555555556,0.6521739130434783,0.6521739130434783,0.5818181818181817
