,0,1,2,3,4
fit_time,3.1762828826904297,3.2158331871032715,3.1279680728912354,3.168552875518799,3.2209229469299316
score_time,0.01848292350769043,0.018692970275878906,0.018044471740722656,0.01861286163330078,0.01831817626953125
test_acc,0.8387096774193549,0.7608695652173914,0.8478260869565217,0.8043478260869565,0.7608695652173914
test_roc,0.6934523809523809,0.5944444444444444,0.7583333333333334,0.6944444444444444,0.6270959087860496
test_recall0,0.9583333333333334,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8732394366197183
test_recall1,0.42857142857142855,0.3,0.6,0.5,0.38095238095238093
test_precision0,0.8518518518518519,0.8205128205128205,0.8918918918918919,0.8648648648648649,0.8266666666666667
test_precision1,0.75,0.42857142857142855,0.6666666666666666,0.5555555555555556,0.47058823529411764
test_f0,0.9019607843137255,0.8533333333333334,0.9041095890410958,0.8767123287671232,0.8493150684931506
test_f1,0.5454545454545454,0.35294117647058826,0.631578947368421,0.5263157894736842,0.42105263157894735
